"Subject","Activity","AvgLinearAccel-X","AvgLinearAccel-Y","AvgLinearAccel-Z","AvgAngularVeloc-X","AvgAngularVeloc-Y","AvgAngularVeloc-Z"
"Subject 8","STANDING",0.279620986111111,-0.018667706452,-0.105107936388889,-0.974294066843137,-0.900352354355556,-0.965102470943396
"Subject 8","WALKING",0.27468631,-0.0354228386082857,-0.067446498706383,-0.164997173640426,-0.147489486,0.377593198787879
"Subject 8","WALKING_DOWNSTAIRS",0.283484089210526,-0.0274563176709677,-0.0842417195026316,-0.0895097688777778,0.059224445875,0.256836915285714
"Subject 8","WALKING_UPSTAIRS",0.258880152048781,-0.0517385715172414,-0.0683121709268293,-0.168771889,-0.1414369255,0.342713067241379
"Subject 9","LAYING",0.2591955368,-0.0221267696458333,-0.103571438542,-0.9081829573,-0.9194501208,-0.9379177084
"Subject 9","SITTING",0.24832674354,-0.0284772159229167,-0.101435517947727,-0.80789859536,-0.9246746678,-0.8640111484
"Subject 9","STANDING",0.282310057333333,-0.0223245304238095,-0.0982435973325581,-0.873529333911111,-0.953733831111111,-0.921603634
"Subject 9","WALKING",0.278502842115385,-0.0236477681544186,-0.0927194763084423,-0.207542925423077,-0.222807657557692,-0.0848137993346667
"Subject 9","WALKING_DOWNSTAIRS",0.295923445,-0.0294010051004857,-0.08691970908,-0.0531792337142857,0.197569337583333,-0.185643821571429
"Subject 9","WALKING_UPSTAIRS",0.262436475714286,-0.0332046746355526,-0.0917548549740816,-0.311042260897959,-0.315244127285714,-0.275873739208333
"Subject 10","LAYING",0.280230574137931,-0.0254393617089286,-0.114151512056897,-0.938660354172414,-0.948908540517241,-0.957298253793103
"Subject 10","SITTING",0.270612056481481,-0.0209839362158824,-0.092928817537037,-0.939151649462963,-0.944112910555556,-0.943197903666667
"Subject 10","STANDING",0.276650300681818,-0.0200647588473684,-0.0948990461772727,-0.861368902272727,-0.939115284090909,-0.94080921
"Subject 10","WALKING",0.278574076603774,-0.0211403335065217,-0.0930498962981132,-0.176840523588235,-0.140838177,-0.145400861285714
"Subject 10","WALKING_DOWNSTAIRS",0.290401594315789,-0.0265484531424242,-0.0957419339189189,-0.11543641028,0.286404865333333,-0.0565704692222222
"Subject 10","WALKING_UPSTAIRS",0.267121853404255,-0.02691951096,-0.0834300408222222,-0.168644540888372,-0.0994807505666667,-0.0474372843923077
"Subject 11","LAYING",0.280592970877193,-0.0176598052315789,-0.108786578070175,-0.98477733,-0.972196873859649,-0.971311176842105
"Subject 11","SITTING",0.276590197358491,-0.018682057336,-0.101151326867925,-0.93675899245283,-0.945059840754717,-0.948708660754717
"Subject 11","STANDING",0.277715562765957,-0.0179865546304348,-0.106094550510638,-0.976584800638298,-0.969142497234043,-0.981448369148936
"Subject 11","WALKING",0.271821892881356,-0.0208416833496154,-0.0915979368,-0.385798937983051,-0.174751410085,-0.285987428342857
"Subject 11","WALKING_DOWNSTAIRS",0.291605631956522,-0.0335096292709677,-0.0752960523306522,-0.0893132363210526,0.163898130740741,0.096213223468
"Subject 11","WALKING_UPSTAIRS",0.263775859277778,-0.0362166541833333,-0.0940298502833333,-0.222046198148148,-0.1362713185625,-0.175190967553846
"Subject 12","LAYING",0.260113433,-0.0183070931306897,-0.106984932225424,-0.9203350305,-0.947385503166667,-0.948873836166667
"Subject 12","SITTING",0.275007224901961,-0.0179037937151064,-0.0991516669188235,-0.913721949039216,-0.940206031960784,-0.935306375490196
"Subject 12","STANDING",0.277405834918033,-0.0201736700464286,-0.101003099167797,-0.877921961065574,-0.937323825081967,-0.926844338196721
"Subject 12","WALKING",0.2771286656,-0.0241134808432432,-0.074126846242,-0.128521194704167,-0.158579413569048,-0.228241265170833
"Subject 12","WALKING_DOWNSTAIRS",0.281521097391304,-0.0281178891321851,-0.0842548182652174,-0.09651734516,0.00259989886842105,-0.153118370785714
"Subject 12","WALKING_UPSTAIRS",0.272970338653846,-0.0305311764085106,-0.0971264678942308,-0.273619044076923,-0.155993570732558,-0.314544154217308
"Subject 13","LAYING",0.276716360483871,-0.0209086374868852,-0.104789031295082,-0.944356477354839,-0.950885435967742,-0.953140126129032
"Subject 13","SITTING",0.274328499591837,-0.0157912616113636,-0.0896871765693878,-0.918079075397917,-0.948972642653061,-0.955174899591837
"Subject 13","STANDING",0.277758431052632,-0.0183550355690909,-0.106984396619298,-0.961499586561404,-0.955037542807018,-0.962563743859649
"Subject 13","WALKING",0.275883130350877,-0.02349871508,-0.0949437954929825,-0.323078936607143,-0.142726656869565,0.127569152870588
"Subject 13","WALKING_DOWNSTAIRS",0.294907553404255,-0.0247346168374286,-0.0813193384361702,-0.143326079264706,-0.0720346483666667,-0.0586909758560606
"Subject 13","WALKING_UPSTAIRS",0.258203939581818,-0.0470468330842105,-0.0843250080238182,-0.2461330804,-0.197493156969444,0.0656178957976744
"Subject 14","LAYING",0.233275439803922,-0.01965257886875,-0.0969133608627451,-0.96168199375,-0.872430939943137,-0.908412679882353
"Subject 14","SITTING",0.279990577037037,-0.016959715244898,-0.0924414660092593,-0.917511234943396,-0.919102726666667,-0.934961382592593
"Subject 14","STANDING",0.280545613833333,-0.019473416490566,-0.09832942924,-0.899535118603448,-0.911090122607333,-0.930691539166667
"Subject 14","WALKING",0.271959598644068,-0.027917814396,-0.0865786057949152,-0.364102533474576,-0.124827146384074,-0.027885695
"Subject 14","WALKING_DOWNSTAIRS",0.293422115555556,-0.0373584484967742,-0.0662562652559091,-0.0628984918225806,0.0459361379047619,0.235153711208333
"Subject 14","WALKING_UPSTAIRS",0.26242106612963,-0.0352600201807692,-0.0815280346553846,-0.23783042015,-0.318634167647059,0.299048633918919
"Subject 15","LAYING",0.2894756525,-0.0173001111932857,-0.111430488753611,-0.956089095694444,-0.963749245833333,-0.934172008333333
"Subject 15","SITTING",0.27290337979661,-0.0184882867236364,-0.10116902560339,-0.947856006551724,-0.942368372457627,-0.948706791694915
"Subject 15","STANDING",0.278915803962264,-0.021537221122,-0.102184443365385,-0.938429343865385,-0.92809005754717,-0.959008160188679
"Subject 15","WALKING",0.273899207962963,-0.0283562448176923,-0.0744697604740741,-0.259740176796296,-0.274701966805,0.0850153087309302
"Subject 15","WALKING_DOWNSTAIRS",0.280198851190476,-0.0252921787576923,-0.055001755455,-0.1194315306875,0.411945677692308,0.371147178588235
"Subject 15","WALKING_UPSTAIRS",0.270187595833333,-0.0367765146097561,-0.100413668925,-0.0706326899645161,-0.00834128264972973,-0.110119599990556
"Subject 16","LAYING",0.274227162571429,-0.0174963872089552,-0.103216815170571,-0.936979192657143,-0.945408532714286,-0.962798750142857
"Subject 16","SITTING",0.280768574492754,-0.0173703382015873,-0.0897413742318841,-0.950563265030303,-0.926252574637681,-0.961740990289855
"Subject 16","STANDING",0.283497402948718,-0.0190755300337838,-0.103317744771429,-0.943916748012987,-0.956963224102564,-0.957721734230769
"Subject 16","WALKING",0.276023564509804,-0.023333480673913,-0.09904258171,-0.375768981411765,-0.322830373333333,-0.173032643313725
"Subject 16","WALKING_DOWNSTAIRS",0.295586802191489,-0.0234196040829268,-0.0990747943489362,-0.109239674444444,0.182434227529268,-0.0880612447119048
"Subject 16","WALKING_UPSTAIRS",0.255986102627451,-0.0238144330037209,-0.0974694971254902,-0.359235122980392,-0.197601608823529,-0.165048081666667
"Subject 17","LAYING",0.269780085577465,-0.0212204655330159,-0.0895491716647887,-0.882893535774648,-0.952235532253521,-0.945335222676056
"Subject 17","SITTING",0.2773570196875,-0.0188735716516667,-0.104338333489063,-0.939462765234375,-0.97562566609375,-0.95891647765625
"Subject 17","STANDING",0.277942503333333,-0.0188067622013158,-0.109151192105385,-0.969181363885513,-0.972758406025641,-0.969574866410256
"Subject 17","WALKING",0.272341855245902,-0.0193893354418644,-0.106511904480328,-0.312447956721311,-0.0557168251952381,-0.1667858412935
"Subject 17","WALKING_DOWNSTAIRS",0.29391828326087,-0.0246933451324324,-0.0806182903976744,-0.0603178787538462,0.157335980222222,-0.019894381462963
"Subject 17","WALKING_UPSTAIRS",0.252604768583333,-0.0369893432967568,-0.09486545805625,-0.0870454797777778,-0.0630961245479412,-0.052933508927027
"Subject 18","LAYING",0.274691576923077,-0.0173937684615385,-0.107698927907692,-0.984527649230769,-0.986160920923077,-0.987658662307692
"Subject 18","SITTING",0.27727001877193,-0.0154787080603774,-0.102334748724561,-0.933210420912281,-0.98161457754386,-0.973727557894737
"Subject 18","STANDING",0.278458805890411,-0.0172614741492958,-0.105280367176712,-0.968009126684932,-0.956000903561644,-0.962073698767123
"Subject 18","WALKING",0.273887758571429,-0.0237406281380435,-0.0839029159125,-0.324771139982143,-0.255980810607143,-0.385104962142857
"Subject 18","WALKING_DOWNSTAIRS",0.288439468909091,-0.0270537152972093,-0.0858339731352727,-0.25899812352963,-0.248142391207273,-0.385181763818182
"Subject 18","WALKING_UPSTAIRS",0.265401201896552,-0.034737645237619,-0.0843094605416845,-0.305016294396552,-0.248276917568966,-0.280490969551724
"Subject 19","LAYING",0.272653733493976,-0.0177791155604938,-0.10583745023253,-0.947581814096386,-0.971191207710843,-0.983807520722892
"Subject 19","SITTING",0.273830316164384,-0.0192413542970149,-0.0998506754150685,-0.904668069493151,-0.953981541506849,-0.950686376712329
"Subject 19","STANDING",0.27817226,-0.0185507254477612,-0.101073640036986,-0.91615749909589,-0.953866099452055,-0.947560695205479
"Subject 19","WALKING",0.273931172307692,-0.029028043904878,-0.0904880226923077,-0.111047246468421,-0.00107636611347826,0.140928894935484
"Subject 19","WALKING_DOWNSTAIRS",0.262688053871795,-0.0339187290074444,-0.0816940954961026,-0.140117820916667,0.639103219259259,0.599498235833333
"Subject 19","WALKING_UPSTAIRS",0.242118808925,-0.0525438971034483,-0.1117440443525,-0.140087842284211,-0.0825538124533333,0.11757226877
"Subject 20","LAYING",0.239507882205882,-0.0176621589954545,-0.101468793847059,-0.967352349552239,-0.954113445426471,-0.965738509411765
"Subject 20","SITTING",0.278045439090909,-0.0171695187884127,-0.103428685593939,-0.943627398924242,-0.950021320606061,-0.924295453030303
"Subject 20","STANDING",0.278076904657534,-0.0232416122285714,-0.0902089613816667,-0.846462137083333,-0.879263930876712,-0.909373887671233
"Subject 20","WALKING",0.272589336470588,-0.0300646642853659,-0.0917800719764706,-0.182578254196078,-0.2272269459,0.502924679756098
"Subject 20","WALKING_DOWNSTAIRS",0.296144421355556,-0.0295946527928571,-0.0577579696826667,-0.093200642888,0.090084607432,0.30731710245
"Subject 20","WALKING_UPSTAIRS",0.252098317156863,-0.0409337463275,-0.0940448574431373,-0.129869040791304,-0.0846837746454545,0.0912779126
"Subject 21","LAYING",0.271325472455556,-0.018632197905618,-0.105718172285682,-0.929949081355556,-0.958032342444444,-0.951944418222222
"Subject 21","SITTING",0.277539616823529,-0.0153419579123457,-0.106077216327059,-0.951835209247059,-0.973317886470588,-0.958434356352941
"Subject 21","STANDING",0.27695224258427,-0.0183176807368235,-0.105736508047727,-0.933928950842697,-0.951002220224719,-0.947241292134831
"Subject 21","WALKING",0.279183526730769,-0.0252976903683333,-0.0810444237628846,-0.251388503634615,-0.187625347790476,0.00846821803170213
"Subject 21","WALKING_DOWNSTAIRS",0.3014610196,-0.0311563065366667,-0.0710033500931818,-0.0882760189230769,0.22578453571875,0.209990825230769
"Subject 21","WALKING_UPSTAIRS",0.265194544680851,-0.0333532589631579,-0.103190024012766,-0.218573874021277,-0.135819592358824,0.0652950288947368
"Subject 22","LAYING",0.279959721194444,-0.0212334570808955,-0.0925119235416667,-0.913767133611111,-0.924991223055556,-0.944864832816901
"Subject 22","SITTING",0.273583822709677,-0.0194221154711864,-0.103543043774194,-0.968242054683333,-0.914357343548387,-0.931628258548387
"Subject 22","STANDING",0.279053861587302,-0.0179490045688333,-0.101985304001587,-0.940324822090476,-0.928277936666667,-0.942011973809524
"Subject 22","WALKING",0.27886459,-0.0248065733354865,-0.0828090127215217,-0.0708308473555556,0.01022740712,0.0201580113826087
"Subject 22","WALKING_DOWNSTAIRS",0.284458963861111,-0.0271261350423667,-0.0931655291371429,-0.0850118479666667,0.346865088506667,0.320412435
"Subject 22","WALKING_UPSTAIRS",0.248391534566667,-0.0415299494709677,-0.0838832565514286,-0.08780197308,0.0835328574310714,0.159324952
"Subject 23","LAYING",0.274038007986111,-0.0216553835833333,-0.104256776291667,-0.956756363194444,-0.976309827361111,-0.973223495416667
"Subject 23","SITTING",0.273351251617647,-0.0194026617354839,-0.0998187510147059,-0.950682612753846,-0.914433080632353,-0.929455033382353
"Subject 23","STANDING",0.277899323235294,-0.0180923365865672,-0.109398655039853,-0.972139257632353,-0.960007590294118,-0.928933645
"Subject 23","WALKING",0.273211884237288,-0.0263809985897727,-0.0916029555330509,-0.255777453677966,-0.193593993893148,-0.0568633552818182
"Subject 23","WALKING_DOWNSTAIRS",0.289897411148148,-0.03118141971,-0.0716624047744444,-0.0731434097464286,0.05500969225,0.0475025386742857
"Subject 23","WALKING_UPSTAIRS",0.249995171031373,-0.045735710957381,-0.106762866298,-0.230061852997959,-0.1076855342788,0.0656152050515151
"Subject 24","LAYING",0.272850494930556,-0.0173555210111111,-0.107236237236111,-0.967984021111111,-0.983126461944444,-0.973566958888889
"Subject 24","SITTING",0.273475690147059,-0.0164445597996875,-0.0964284036735294,-0.937860045676471,-0.965341450882353,-0.956844963823529
"Subject 24","STANDING",0.280348883913043,-0.0173565667650794,-0.100173057553739,-0.923927383955882,-0.928364398086956,-0.936364868985507
"Subject 24","WALKING",0.276980816034483,-0.0252625568113208,-0.101509979174138,-0.43780583912069,-0.183404525060345,-0.275069719655172
"Subject 24","WALKING_DOWNSTAIRS",0.288631208909091,-0.0212527886632609,-0.0830674192218182,-0.0974905987528302,-0.126946106638095,-0.148808035775472
"Subject 24","WALKING_UPSTAIRS",0.269881106779661,-0.0439914337087805,-0.0716469030322034,-0.275736156779661,-0.193598971842105,-0.203766819050847
"Subject 25","LAYING",0.250791828613699,-0.148964298933333,0.00158874545,-0.535736825147059,-0.789094331972222,-0.758636825728571
"Subject 25","SITTING",0.278541482461538,-0.0173502674225806,-0.102917495015385,-0.951907948107692,-0.970288808153846,-0.96117331515625
"Subject 25","STANDING",0.278013701621622,-0.0169005993017808,-0.108610620547945,-0.966122667662162,-0.959660279594595,-0.969949073378378
"Subject 25","WALKING",0.278992759054054,-0.021995228658209,-0.0983864102135135,-0.54552243422973,-0.202259110094595,-0.415046484594595
"Subject 25","WALKING_DOWNSTAIRS",0.291329666206897,-0.0284095938769388,-0.0881161380764912,-0.22386429662069,-0.191339348718,-0.345663728516071
"Subject 25","WALKING_UPSTAIRS",0.277995411384615,-0.0389259370616,-0.0977647617720635,-0.373924299328125,-0.286318607328125,-0.271667610092308
"Subject 26","LAYING",0.271645864540789,-0.0191895728026316,-0.105002540289474,-0.969445445263158,-0.983231351842105,-0.984500013157895
"Subject 26","SITTING",0.258243530166667,-0.0186915705286111,-0.0919091916820513,-0.965685224543243,-0.914566986371795,-0.960463281410256
"Subject 26","STANDING",0.281127035405405,-0.0205800902323188,-0.104231456881081,-0.930905083227027,-0.962328003918919,-0.957704838378378
"Subject 26","WALKING",0.279264443728814,-0.0238021432695652,-0.0857677356542373,-0.285527252067797,-0.181125099001724,-0.28419901279661
"Subject 26","WALKING_DOWNSTAIRS",0.2792845828,-0.0229994203612564,-0.084253913966,-0.0819887100769231,0.178866821368421,-6.19577200000024e-05
"Subject 26","WALKING_UPSTAIRS",0.272691394545455,-0.0333448261755102,-0.106706848419818,-0.158117721654545,-0.102323056461538,-0.251165898603636
"Subject 27","LAYING",0.274102492432432,-0.0179867611216216,-0.107699732837838,-0.978455153108108,-0.983736043783784,-0.986636996081081
"Subject 27","SITTING",0.273941302571429,-0.0173314820441176,-0.104689788971429,-0.978270345046377,-0.963843271728571,-0.971083071142857
"Subject 27","STANDING",0.279566921625,-0.0182641034519481,-0.10589998511,-0.982931352692308,-0.9380091507875,-0.96647207575
"Subject 27","WALKING",0.276849485438596,-0.0209342927322917,-0.0956403935125421,-0.307066075280702,-0.211034113912281,-0.280606441578947
"Subject 27","WALKING_DOWNSTAIRS",0.2975441875,-0.0223861371,-0.0861336665340909,-0.0913332785384615,0.15271344140625,-0.0154665707617647
"Subject 27","WALKING_UPSTAIRS",0.265770253921569,-0.0243067860181818,-0.102940778509804,-0.271096391411765,-0.146271838213333,-0.196969747119608
"Subject 28","LAYING",0.2759134825,-0.0193410246866667,-0.09829196739125,-0.921192881875,-0.95343221175,-0.95349446675
"Subject 28","SITTING",0.276977629444444,-0.0203537355086957,-0.107929908332778,-0.959599677042253,-0.930034390902778,-0.940435825277778
"Subject 28","STANDING",0.277795069113924,-0.0202593807231081,-0.0995828510936709,-0.922631630835443,-0.889248187974684,-0.899288456202532
"Subject 28","WALKING",0.281228223888889,-0.0220963810363636,-0.0800636172759259,-0.256383531981482,-0.164518554204082,-0.246945013166667
"Subject 28","WALKING_DOWNSTAIRS",0.293642076521739,-0.0299534838756757,-0.0830633956065217,-0.12454993,0.114607556574359,-0.014155962125
"Subject 28","WALKING_UPSTAIRS",0.262005841764706,-0.0362320134142857,-0.103930733124314,-0.21770054868,-0.170101785373469,-0.25051574834902
"Subject 29","LAYING",0.287295196811594,-0.0171965484202899,-0.109462068173913,-0.984219555507246,-0.990240946666667,-0.987255149855072
"Subject 29","SITTING",0.2771799775,-0.0181790439741379,-0.103841905233333,-0.966005232166667,-0.9722931265,-0.966513589833333
"Subject 29","STANDING",0.277965065846154,-0.017554271890625,-0.106897821136923,-0.982926508769231,-0.970623322923077,-0.979298830153846
"Subject 29","WALKING",0.271999916792453,-0.0234775116375,-0.0813591679550943,-0.156861194113208,-0.12396636174375,-0.187944653953019
"Subject 29","WALKING_DOWNSTAIRS",0.293140441083333,-0.0292226623515152,-0.0737573490891304,-0.0741793647,0.141299036828571,-0.0531121285405405
"Subject 29","WALKING_UPSTAIRS",0.265423066877551,-0.0401877624170732,-0.097915348377551,-0.106298039547619,-0.129469408297872,-0.0621726742058824
"Subject 30","LAYING",0.281033900571429,-0.0194494098614286,-0.1036581505,-0.976362515428571,-0.954201823857143,-0.967044236428571
"Subject 30","SITTING",0.268336081379032,-0.0185347790894737,-0.0913889653387097,-0.943967230271667,-0.930442047548387,-0.956566398225806
"Subject 30","STANDING",0.277112699152542,-0.0227452790886792,-0.100916836386207,-0.872801902140678,-0.906027462881356,-0.912700913389831
"Subject 30","WALKING",0.276406758,-0.0206779986822034,-0.0878386544969231,-0.323989879553846,-0.193264342446154,-0.132579583459016
"Subject 30","WALKING_DOWNSTAIRS",0.283190646967742,-0.0321585010379545,-0.0746299928666667,-0.1102884251,-0.0581666590847826,-0.132871415878723
"Subject 30","WALKING_UPSTAIRS",0.271415642261538,-0.0489685949522727,-0.0648814679188136,-0.24933567613125,-0.246056462933333,-0.129557341013514
