"Subject" "Activity" "LinearAccelX" "LinearAccelY" "LinearAccelZ" "AngularVelocX" "AngularVelocY" "AngularVelocZ"
"Subject 1" "LAYING" "2.0896421e-001" "-2.2742569e-002" "-1.6644945e-001" "-9.5384561e-001" "-9.3132033e-001" "-7.2608707e-001"
"Subject 1" "LAYING" "2.7903686e-001" "-1.6669682e-002" "-1.0935435e-001" "-9.9513738e-001" "-9.9481239e-001" "-9.9520044e-001"
"Subject 1" "LAYING" "2.8020640e-001" "-1.8396260e-002" "-1.0748863e-001" "-9.9647493e-001" "-9.9406876e-001" "-9.9186131e-001"
"Subject 1" "LAYING" "2.5747650e-001" "-4.1386534e-001" "" "1.7374188e-002" "-9.1966606e-001" ""
"Subject 1" "LAYING" "3.0005315e-001" "-1.8087248e-002" "-1.0818389e-001" "-9.8194347e-001" "-9.8287187e-001" "-9.3625941e-001"
"Subject 1" "LAYING" "3.9365355e-001" "-2.3633221e-002" "-1.2592376e-001" "-9.6229044e-001" "-9.4488138e-001" "-9.0104430e-001"
"Subject 1" "LAYING" "-3.6120533e-001" "-2.6812111e-001" "" "1.7689637e-001" "-5.9939182e-001" ""
"Subject 1" "LAYING" "2.7957476e-001" "-1.7275722e-002" "-1.0948053e-001" "-9.9613535e-001" "-9.9581156e-001" "-9.9868915e-001"
"Subject 1" "LAYING" "2.7972834e-001" "-1.6003810e-002" "-1.0733640e-001" "-9.9493112e-001" "-9.9657148e-001" "-9.9415005e-001"
"Subject 1" "LAYING" "-8.3287063e-002" "" "1.0297707e-002" "-5.1608391e-001" "-7.3819996e-001" "-8.7810967e-001"
"Subject 1" "LAYING" "3.4696848e-001" "" "6.9408647e-002" "-2.0082552e-001" "-8.0390335e-001" "-7.4174219e-001"
"Subject 1" "LAYING" "2.7672941e-001" "-1.7209548e-002" "-1.0563797e-001" "-9.9478811e-001" "-9.9103132e-001" "-9.9318722e-001"
"Subject 1" "LAYING" "3.0383319e-001" "" "1.0364820e-001" "-2.4533103e-001" "-7.5599409e-001" "-6.4257064e-001"
"Subject 1" "LAYING" "2.7831632e-001" "-1.8048727e-002" "-1.0840311e-001" "-9.9566688e-001" "-9.9187043e-001" "-9.9635754e-001"
"Subject 1" "LAYING" "2.7302712e-001" "-1.0196757e-002" "-1.1115339e-001" "-9.9312530e-001" "-9.9000100e-001" "-9.9540821e-001"
"Subject 1" "LAYING" "4.0347433e-001" "-1.5074404e-002" "-1.1816739e-001" "-9.1481115e-001" "-8.9523112e-001" "-8.9174811e-001"
"Subject 1" "LAYING" "2.7683965e-001" "-2.7147660e-002" "-1.2317480e-001" "-9.7739515e-001" "-5.8759988e-001" "-9.7067028e-001"
"Subject 1" "LAYING" "2.5911510e-001" "-1.7985103e-002" "-1.2024506e-001" "-9.5706759e-001" "-9.4990104e-001" "-8.2490842e-001"
"Subject 1" "LAYING" "-2.7706634e-001" "-6.8409659e-001" "" "3.4665772e-001" "-5.9641047e-001" ""
"Subject 1" "LAYING" "-1.6642569e-001" "-1.1935251e-001" "" "1.3303497e-001" "-6.3313536e-001" "-1.8977503e-001"
"Subject 1" "LAYING" "3.2588645e-001" "" "8.1689933e-004" "" "1.6658077e-002" "-9.8240327e-001"
"Subject 1" "LAYING" "2.7783021e-001" "-1.7684054e-002" "-1.0570350e-001" "-9.9614315e-001" "-9.9596875e-001" "-9.9488860e-001"
"Subject 1" "LAYING" "2.7575263e-001" "-1.6788627e-002" "-1.0562315e-001" "-9.9497148e-001" "-9.9383336e-001" "-9.9862454e-001"
"Subject 1" "LAYING" "2.4389788e-001" "-2.7628987e-002" "-1.8227212e-001" "-9.6710073e-001" "-9.4090804e-001" "-7.6724462e-001"
"Subject 1" "LAYING" "2.8526329e-001" "-8.8888110e-003" "-1.0374518e-001" "-9.9549458e-001" "-9.7982784e-001" "-9.9541907e-001"
"Subject 1" "LAYING" "2.7652699e-001" "-1.6819100e-002" "-1.0798311e-001" "-9.9677544e-001" "-9.9725636e-001" "-9.9542164e-001"
"Subject 1" "LAYING" "2.7937115e-001" "-1.7644953e-002" "-1.0818111e-001" "-9.9523683e-001" "-9.9581009e-001" "-9.9443045e-001"
"Subject 1" "LAYING" "3.4020850e-001" "-3.6452984e-002" "-1.0625819e-001" "-9.5859648e-001" "-9.0805582e-001" "-9.8466948e-001"
"Subject 1" "LAYING" "2.9230775e-001" "-6.9286500e-003" "-2.9339182e-002" "-9.6002148e-001" "-9.2420225e-001" "-6.5180555e-001"
"Subject 1" "LAYING" "1.8047854e-001" "-4.2535659e-002" "-2.8056106e-001" "-9.5675297e-001" "-9.3951623e-001" "-7.6304873e-001"
"Subject 1" "LAYING" "2.8166540e-001" "-1.7570074e-002" "-1.1073427e-001" "-9.9444613e-001" "-9.9403787e-001" "-9.9451423e-001"
"Subject 1" "LAYING" "2.7603949e-001" "-1.7357172e-002" "-1.0897656e-001" "-9.9642945e-001" "-9.9240921e-001" "-9.9281446e-001"
"Subject 1" "LAYING" "2.7890115e-001" "-1.7814424e-002" "-1.0698796e-001" "-9.9585495e-001" "-9.9727068e-001" "-9.9398513e-001"
"Subject 1" "LAYING" "2.7885089e-001" "-1.6544181e-002" "-1.0901088e-001" "-9.9466309e-001" "-9.9543722e-001" "-9.9647999e-001"
"Subject 1" "LAYING" "2.8202074e-001" "-1.7589649e-002" "-1.0793379e-001" "-9.9523745e-001" "-9.9659185e-001" "-9.9515189e-001"
"Subject 1" "LAYING" "1.9016151e-002" "-7.0373566e-003" "-2.8333356e-002" "-6.6129361e-001" "-7.1335257e-001" "-7.0115517e-001"
"Subject 1" "LAYING" "2.8182774e-001" "-1.8626474e-002" "-1.0527824e-001" "-9.9628711e-001" "-9.9219394e-001" "-9.9020448e-001"
"Subject 1" "LAYING" "2.7800654e-001" "-1.7803170e-002" "-1.0896485e-001" "-9.9442540e-001" "-9.9487263e-001" "-9.9488582e-001"
"Subject 1" "SITTING" "2.7727452e-001" "-1.1693149e-002" "-1.0258892e-001" "-9.9719472e-001" "-9.8421017e-001" "-9.8371764e-001"
"Subject 1" "SITTING" "2.7843225e-001" "-1.9654302e-002" "-1.0797029e-001" "-9.9439029e-001" "-9.8456278e-001" "-9.9198578e-001"
"Subject 1" "SITTING" "2.7798405e-001" "-1.7867041e-002" "-1.0694863e-001" "-9.9629013e-001" "-9.9311339e-001" "-9.9575029e-001"
"Subject 1" "SITTING" "2.7853812e-001" "-1.6173432e-002" "-1.0970656e-001" "-9.9664602e-001" "-9.8297482e-001" "-9.9479797e-001"
"Subject 1" "SITTING" "2.7839415e-001" "-1.8437222e-002" "-1.1166380e-001" "-9.9718769e-001" "-9.9166889e-001" "-9.9865340e-001"
"Subject 1" "SITTING" "2.7873199e-001" "-1.8106346e-002" "-1.0781649e-001" "-9.9744243e-001" "-9.9194879e-001" "-9.9091500e-001"
"Subject 1" "SITTING" "2.7866687e-001" "-1.7999434e-002" "-1.1006327e-001" "-9.9763711e-001" "-9.9050786e-001" "-9.8937496e-001"
"Subject 1" "SITTING" "2.7259354e-001" "-5.7626503e-003" "-1.0852663e-001" "-9.9759621e-001" "-9.8565524e-001" "-9.9025442e-001"
"Subject 1" "SITTING" "3.0368927e-001" "-4.2428053e-003" "-1.5085028e-001" "-9.5650333e-001" "-8.3867155e-001" "-9.4300953e-001"
"Subject 1" "SITTING" "2.7682826e-001" "-1.6123297e-002" "-1.1023355e-001" "-9.9730948e-001" "-9.8660761e-001" "-9.8836119e-001"
"Subject 1" "SITTING" "2.9811757e-001" "-3.5646628e-002" "-1.1592994e-001" "-9.8983698e-001" "-9.0777110e-001" "-9.4644862e-001"
"Subject 1" "SITTING" "2.7635864e-001" "-1.6138088e-002" "-1.0803259e-001" "-9.9557733e-001" "-9.9454385e-001" "-9.9454372e-001"
"Subject 1" "SITTING" "2.7394057e-001" "-1.3147584e-002" "-1.0543517e-001" "-9.9588454e-001" "-9.8801293e-001" "-9.8842553e-001"
"Subject 1" "SITTING" "1.3903671e-002" "" "1.5329608e-001" "" "1.6242945e-002" "-8.0863778e-001"
"Subject 1" "SITTING" "2.7554943e-001" "-1.4115159e-002" "-1.0899857e-001" "-9.9759949e-001" "-9.8525652e-001" "-9.9565260e-001"
"Subject 1" "SITTING" "-4.1701306e-002" "" "1.7510248e-001" "" "2.5551778e-002" "-7.5839283e-001"
"Subject 1" "SITTING" "2.9075969e-001" "-2.4034760e-002" "-1.1673889e-001" "-9.7737449e-001" "-9.6384053e-001" "-9.6250503e-001"
"Subject 1" "SITTING" "2.7337960e-001" "-9.9401064e-003" "-1.0839283e-001" "-9.9550580e-001" "-9.8176748e-001" "-9.9347363e-001"
"Subject 1" "SITTING" "2.7999760e-001" "-1.9484036e-002" "-1.0572355e-001" "-9.9281839e-001" "-9.4035041e-001" "-9.8149266e-001"
"Subject 1" "SITTING" "2.2184689e-001" "" "3.4107675e-002" "-1.2361242e-001" "-8.1470826e-001" "-7.4941800e-001"
"Subject 1" "SITTING" "2.7615990e-001" "-1.3326330e-002" "-1.0596005e-001" "-9.9595226e-001" "-9.7977550e-001" "-9.9271835e-001"
"Subject 1" "SITTING" "2.6453910e-001" "-1.9722322e-002" "-7.1903067e-002" "-9.9417215e-001" "-9.5024127e-001" "-9.6688076e-001"
"Subject 1" "SITTING" "2.8150539e-001" "-1.8434859e-002" "-1.1139287e-001" "-9.9546804e-001" "-9.8433022e-001" "-9.9099514e-001"
"Subject 1" "SITTING" "2.7564442e-001" "-1.5470231e-002" "-1.0820759e-001" "-9.9658306e-001" "-9.9050546e-001" "-9.9632901e-001"
"Subject 1" "SITTING" "2.7090823e-001" "-1.4412968e-002" "-1.0652245e-001" "-9.9385604e-001" "-9.9317870e-001" "-9.9347030e-001"
"Subject 1" "SITTING" "2.7790646e-001" "-1.7143471e-002" "-1.0985922e-001" "-9.9754662e-001" "-9.8715573e-001" "-9.9602656e-001"
"Subject 1" "SITTING" "2.7426151e-001" "-1.2264695e-002" "-1.0949351e-001" "-9.9386458e-001" "-9.7742116e-001" "-9.8933645e-001"
"Subject 1" "SITTING" "2.7955340e-001" "-1.7001147e-002" "-1.1051668e-001" "-9.9607594e-001" "-9.9578152e-001" "-9.9822168e-001"
"Subject 1" "SITTING" "2.3715407e-001" "" "7.8251224e-003" "-1.2283791e-001" "-9.7995358e-001" "-8.6619341e-001"
"Subject 1" "SITTING" "2.7859910e-001" "-1.9910142e-002" "-1.1118060e-001" "-9.9474489e-001" "-9.7949566e-001" "-9.8796152e-001"
"Subject 1" "SITTING" "2.7328142e-001" "-1.1127209e-002" "-1.0634926e-001" "-9.9587640e-001" "-9.8911070e-001" "-9.9341322e-001"
"Subject 1" "SITTING" "2.7750957e-001" "-1.6333594e-002" "-1.0989482e-001" "-9.9732911e-001" "-9.9400736e-001" "-9.9746062e-001"
"Subject 1" "SITTING" "3.1076307e-001" "" "1.8053586e-002" "-2.0554844e-001" "-9.5014395e-001" "-8.4495603e-001"
"Subject 1" "SITTING" "2.7930326e-001" "-2.0521383e-002" "-1.1323643e-001" "-9.9584854e-001" "-9.8070075e-001" "-9.9340381e-001"
"Subject 1" "SITTING" "1.4450396e-001" "" "1.8926326e-001" "" "6.2769317e-002" "-9.0429967e-001"
"Subject 1" "SITTING" "2.7905615e-001" "-1.6260970e-002" "-1.1281565e-001" "-9.9501877e-001" "-9.7044631e-001" "-9.8926612e-001"
"Subject 1" "SITTING" "2.6297624e-001" "-2.8737053e-004" "-1.7609097e-001" "-9.5017368e-001" "-6.1459668e-001" "-8.9803499e-001"
"Subject 1" "SITTING" "2.6963511e-001" "-8.9314391e-003" "-8.9394709e-002" "-9.9713683e-001" "-9.6658737e-001" "-9.8559837e-001"
"Subject 1" "SITTING" "2.7746121e-001" "-1.7491016e-002" "-1.0635945e-001" "-9.9642843e-001" "-9.8467312e-001" "-9.9068266e-001"
"Subject 1" "SITTING" "2.7908720e-001" "-1.9083242e-002" "-1.0588882e-001" "-9.9572983e-001" "-9.7896723e-001" "-9.9139401e-001"
"Subject 1" "SITTING" "2.8725164e-001" "-3.7455064e-002" "-1.4597431e-001" "-9.8291504e-001" "-8.9160489e-001" "-9.4143811e-001"
"Subject 1" "SITTING" "2.7559191e-001" "-1.3962574e-002" "-1.0788811e-001" "-9.9796584e-001" "-9.9362312e-001" "-9.9363071e-001"
"Subject 1" "SITTING" "2.7725766e-001" "-1.4249297e-002" "-1.1220537e-001" "-9.9701597e-001" "-9.7768015e-001" "-9.9714030e-001"
"Subject 1" "SITTING" "2.7832678e-001" "-1.7572720e-002" "-1.0987181e-001" "-9.9741288e-001" "-9.9000297e-001" "-9.9533322e-001"
"Subject 1" "SITTING" "2.7778196e-001" "-1.5873588e-002" "-1.1050438e-001" "-9.9692883e-001" "-9.8192492e-001" "-9.9671585e-001"
"Subject 1" "SITTING" "2.7310840e-001" "" "6.5181116e-003" "-1.0947182e-001" "-9.9078294e-001" "-9.3506515e-001"
"Subject 1" "SITTING" "2.7575308e-001" "-1.0254163e-002" "-1.0953993e-001" "-9.9600622e-001" "-9.8294879e-001" "-9.9649629e-001"
"Subject 1" "STANDING" "2.9794572e-001" "" "2.7093908e-002" "-6.1668123e-002" "-9.8864079e-001" "-8.1669860e-001"
"Subject 1" "STANDING" "2.7965306e-001" "-1.9467156e-002" "-1.1346169e-001" "-9.9537956e-001" "-9.6718701e-001" "-9.7894396e-001"
"Subject 1" "STANDING" "2.7796276e-001" "-1.5040946e-002" "-1.0639918e-001" "-9.9722941e-001" "-9.8963355e-001" "-9.9267588e-001"
"Subject 1" "STANDING" "2.7719877e-001" "-1.0097850e-002" "-1.0513725e-001" "-9.9733496e-001" "-9.9048681e-001" "-9.9542003e-001"
"Subject 1" "STANDING" "2.7773106e-001" "-1.8210718e-002" "-1.0918803e-001" "-9.9749074e-001" "-9.9322197e-001" "-9.9612795e-001"
"Subject 1" "STANDING" "2.8013490e-001" "-1.3916951e-002" "-1.0637048e-001" "-9.9769492e-001" "-9.8751567e-001" "-9.9040744e-001"
"Subject 1" "STANDING" "2.7567630e-001" "-2.1264234e-002" "-1.1080122e-001" "-9.9786211e-001" "-9.9009076e-001" "-9.9459257e-001"
"Subject 1" "STANDING" "2.7662877e-001" "-1.6569655e-002" "-1.1536185e-001" "-9.9813862e-001" "-9.8081727e-001" "-9.9048163e-001"
"Subject 1" "STANDING" "2.7573444e-001" "-1.8018840e-002" "-1.0677578e-001" "-9.9925496e-001" "-9.9366888e-001" "-9.9418880e-001"
"Subject 1" "STANDING" "2.7842600e-001" "-1.7091944e-002" "-1.2529627e-001" "-9.9415676e-001" "-9.8700963e-001" "-9.8204621e-001"
"Subject 1" "STANDING" "2.6580577e-001" "-3.2762393e-002" "-1.1731189e-001" "-9.9267758e-001" "-9.5104936e-001" "-9.7602096e-001"
"Subject 1" "STANDING" "2.7380646e-001" "-1.9735938e-002" "-1.1988703e-001" "-9.9843174e-001" "-9.7745674e-001" "-9.8177192e-001"
"Subject 1" "STANDING" "2.7917394e-001" "-2.6200646e-002" "-1.2328257e-001" "-9.9609149e-001" "-9.8340270e-001" "-9.9067510e-001"
"Subject 1" "STANDING" "3.2236308e-001" "" "3.4225504e-002" "-5.7350730e-002" "-9.6959958e-001" "-7.9992743e-001"
"Subject 1" "STANDING" "2.7622817e-001" "-2.1441302e-002" "-1.0820234e-001" "-9.9824595e-001" "-9.8721376e-001" "-9.9272659e-001"
"Subject 1" "STANDING" "2.7394901e-001" "-2.1795449e-002" "-1.1743596e-001" "-9.9582870e-001" "-9.8469180e-001" "-9.8680949e-001"
"Subject 1" "STANDING" "2.6076161e-001" "-3.5370696e-002" "-1.3730782e-001" "-9.7372342e-001" "-9.2914990e-001" "-8.7500058e-001"
"Subject 1" "STANDING" "2.7688027e-001" "-1.2721805e-002" "-1.0343832e-001" "-9.9481511e-001" "-9.7307692e-001" "-9.8535702e-001"
"Subject 1" "STANDING" "2.8858451e-001" "-2.0294171e-002" "-1.3290514e-001" "-9.9527860e-001" "-9.8311061e-001" "-9.1352645e-001"
"Subject 1" "STANDING" "2.8527440e-001" "-4.5132061e-003" "-1.1378610e-001" "-9.9416918e-001" "-9.5691531e-001" "-9.7684809e-001"
"Subject 1" "STANDING" "2.7729342e-001" "-2.1750698e-002" "-1.2075082e-001" "-9.9732847e-001" "-9.6124532e-001" "-9.8367156e-001"
"Subject 1" "STANDING" "2.7687455e-001" "-1.8606634e-002" "-1.1297200e-001" "-9.9553121e-001" "-9.7702551e-001" "-9.8667852e-001"
"Subject 1" "STANDING" "2.7717497e-001" "-1.4712802e-002" "-1.0675647e-001" "-9.9918834e-001" "-9.9052638e-001" "-9.9336501e-001"
"Subject 1" "STANDING" "2.7920020e-001" "-1.7714427e-002" "-1.0916135e-001" "-9.9838929e-001" "-9.8730784e-001" "-9.9083159e-001"
"Subject 1" "STANDING" "2.8981703e-001" "-1.0751748e-002" "-1.1994169e-001" "-9.9460871e-001" "-9.7444649e-001" "-9.1805537e-001"
"Subject 1" "STANDING" "2.7239664e-001" "-2.3659196e-002" "-1.1324183e-001" "-9.9029079e-001" "-9.1634568e-001" "-9.7697957e-001"
"Subject 1" "STANDING" "2.7872042e-001" "-1.4508176e-002" "-1.1530914e-001" "-9.9803797e-001" "-9.8579434e-001" "-9.9845546e-001"
"Subject 1" "STANDING" "2.8451133e-001" "-8.5448131e-003" "-8.9976474e-002" "-9.9444689e-001" "-9.7911830e-001" "-9.7744618e-001"
"Subject 1" "STANDING" "2.7841883e-001" "-1.6410568e-002" "-1.2352019e-001" "-9.9824528e-001" "-9.7530022e-001" "-9.6032199e-001"
"Subject 1" "STANDING" "2.7970111e-001" "-1.5808416e-002" "-1.0892197e-001" "-9.9875228e-001" "-9.9407978e-001" "-9.9191232e-001"
"Subject 1" "STANDING" "2.7920345e-001" "-2.3020143e-002" "-1.2208028e-001" "-9.9683904e-001" "-9.7484812e-001" "-9.8338551e-001"
"Subject 1" "STANDING" "2.7884783e-001" "-1.5316190e-002" "-1.0701234e-001" "-9.9835991e-001" "-9.8394066e-001" "-9.9173879e-001"
"Subject 1" "STANDING" "2.7368218e-001" "-1.9975668e-002" "-1.0754792e-001" "-9.9690186e-001" "-9.7694701e-001" "-9.9288615e-001"
"Subject 1" "STANDING" "2.7997806e-001" "-1.5505193e-002" "-1.0621291e-001" "-9.9801874e-001" "-9.9137526e-001" "-9.9230109e-001"
"Subject 1" "STANDING" "2.7942505e-001" "-1.4947411e-002" "-1.1019510e-001" "-9.9698312e-001" "-9.9453026e-001" "-9.8363505e-001"
"Subject 1" "STANDING" "2.7903836e-001" "-1.4800378e-002" "-1.1684896e-001" "-9.9694116e-001" "-9.8186562e-001" "-9.8257653e-001"
"Subject 1" "STANDING" "2.7436388e-001" "-2.3361777e-002" "-1.1033551e-001" "-9.9708947e-001" "-9.8878065e-001" "-9.8055980e-001"
"Subject 1" "STANDING" "2.7899267e-001" "-1.4531029e-002" "-1.0659617e-001" "-9.9805969e-001" "-9.8606983e-001" "-9.9342424e-001"
"Subject 1" "STANDING" "2.7715238e-001" "-1.7983328e-002" "-1.0660117e-001" "-9.9776322e-001" "-9.8995727e-001" "-9.9658567e-001"
"Subject 1" "STANDING" "2.7734354e-001" "-1.5650330e-002" "-1.0844766e-001" "-9.9786452e-001" "-9.9265102e-001" "-9.9945444e-001"
"Subject 1" "STANDING" "2.7924170e-001" "-1.7290162e-002" "-1.1394039e-001" "-9.9828462e-001" "-9.8913519e-001" "-9.8617287e-001"
"Subject 1" "STANDING" "2.7475366e-001" "-2.0102285e-002" "-1.2120311e-001" "-9.9845548e-001" "-9.7979641e-001" "-9.9549304e-001"
"Subject 1" "STANDING" "2.7526076e-001" "-1.6105674e-002" "-1.0343073e-001" "-9.9577942e-001" "-9.7855604e-001" "-9.9234774e-001"
"Subject 1" "STANDING" "2.7664268e-001" "-1.6755348e-002" "-9.9381423e-002" "-9.9757572e-001" "-9.8702490e-001" "-9.9563498e-001"
"Subject 1" "STANDING" "2.7452620e-001" "-2.5134082e-002" "-1.2251223e-001" "-9.9393011e-001" "-9.6387999e-001" "-9.5934962e-001"
"Subject 1" "STANDING" "2.8171549e-001" "-1.1910678e-002" "-1.0287513e-001" "-9.9853388e-001" "-9.8848901e-001" "-9.9318367e-001"
"Subject 1" "STANDING" "2.7945388e-001" "-1.9640776e-002" "-1.1002215e-001" "-9.9692104e-001" "-9.6718593e-001" "-9.8311783e-001"
"Subject 1" "STANDING" "2.7743247e-001" "-3.0488303e-002" "-1.2536043e-001" "-9.9655926e-001" "-9.6672843e-001" "-9.8158533e-001"
"Subject 1" "STANDING" "2.7845700e-001" "-2.0414761e-002" "-1.1273172e-001" "-9.9913488e-001" "-9.8468004e-001" "-9.9627424e-001"
"Subject 1" "STANDING" "2.8058569e-001" "-9.9602983e-003" "-1.0606516e-001" "-9.9480344e-001" "-9.7275840e-001" "-9.8624387e-001"
"Subject 1" "STANDING" "2.7938002e-001" "-1.5438310e-002" "-1.1126972e-001" "-9.9789716e-001" "-9.9152482e-001" "-9.9924206e-001"
"Subject 1" "STANDING" "2.7756171e-001" "-1.4318487e-002" "-1.0787724e-001" "-9.9790424e-001" "-9.9431129e-001" "-9.9595166e-001"
"Subject 1" "STANDING" "2.7556818e-001" "-1.6979698e-002" "-1.1142918e-001" "-9.9781139e-001" "-9.9052230e-001" "-9.9762104e-001"
"Subject 1" "WALKING" "2.2172674e-001" "-2.4376970e-002" "-7.5076407e-002" "-1.1171737e-001" "" "1.1113028e-001"
"Subject 1" "WALKING" "2.4003888e-001" "-1.7441822e-002" "-8.5922906e-002" "-2.7195620e-001" "" "1.6648261e-001"
"Subject 1" "WALKING" "2.5693500e-001" "-1.0577401e-002" "-1.0544192e-001" "-2.3004356e-001" "" "1.8733455e-001"
"Subject 1" "WALKING" "3.0583985e-001" "-2.1923253e-003" "-1.2497137e-001" "-3.0930011e-001" "" "1.9143432e-001"
"Subject 1" "WALKING" "3.2746543e-001" "-3.5666960e-002" "-1.8182373e-001" "-3.6722034e-001" "" "3.4414774e-002"
"Subject 1" "WALKING" "2.2229785e-001" "-1.8659683e-002" "-1.1718642e-001" "-2.2054434e-001" "" "1.6981657e-001"
"Subject 1" "WALKING" "3.1035963e-001" "-5.4635143e-002" "-1.3912115e-001" "-2.9919627e-001" "" "1.3141489e-001"
"Subject 1" "WALKING" "3.6562924e-001" "-2.0382593e-002" "-8.9326453e-002" "-1.8660819e-001" "" "1.9409125e-001"
"Subject 1" "WALKING" "3.9824941e-001" "" "2.7317684e-002" "-6.2956416e-002" "-2.8590377e-001" ""
"Subject 1" "WALKING" "2.9855414e-001" "" "7.9445569e-004" "-4.0695674e-002" "-1.9810732e-001" "-4.6376926e-003"
"Subject 1" "WALKING" "2.8562929e-001" "-3.3009184e-002" "-1.2127097e-001" "-2.3330104e-001" "" "1.7256407e-001"
"Subject 1" "WALKING" "3.4859482e-001" "-9.2913878e-003" "-4.8420161e-002" "-2.9625224e-001" "" "1.8386365e-001"
"Subject 1" "WALKING" "2.1453672e-001" "-3.2810366e-002" "-1.2375050e-001" "-3.1414012e-001" "" "1.6878457e-001"
"Subject 1" "WALKING" "2.5546822e-001" "" "2.1219063e-002" "-4.8949431e-002" "-2.2453699e-001" ""
"Subject 1" "WALKING" "2.9644415e-001" "" "1.4086002e-002" "-1.0259465e-002" "-3.3430802e-001" ""
"Subject 1" "WALKING" "2.9097148e-001" "-2.7810418e-002" "-4.2982545e-002" "-1.3937030e-001" "" "3.8038012e-002"
"Subject 1" "WALKING" "3.2551283e-001" "-3.0425049e-002" "-9.0442602e-002" "-3.2426515e-001" "" "1.8394759e-001"
"Subject 1" "WALKING" "2.8151325e-001" "-4.0800898e-002" "-1.3467496e-001" "-2.0097415e-001" "" "1.3235411e-001"
"Subject 1" "WALKING" "3.4708066e-001" "-3.7003662e-002" "-1.3137150e-001" "-2.6686437e-001" "" "1.9113155e-001"
"Subject 1" "WALKING" "2.4080870e-001" "-5.0888361e-004" "-9.5617951e-002" "-2.3763498e-001" "" "1.5699169e-001"
"Subject 1" "WALKING" "3.5419290e-001" "-1.2560935e-002" "-5.8680943e-002" "-2.0842457e-001" "" "2.3479071e-001"
"Subject 1" "WALKING" "2.2667958e-001" "-3.6078863e-002" "-1.3872566e-001" "-3.7645875e-001" "" "8.4023999e-002"
"Subject 1" "WALKING" "2.8618516e-001" "" "7.8622212e-004" "-1.4347148e-001" "-3.2635456e-001" ""
"Subject 1" "WALKING" "2.6108077e-001" "-1.5635621e-002" "-1.0258842e-001" "-1.7123888e-001" "" "2.0123607e-001"
"Subject 1" "WALKING" "2.3995826e-001" "-9.7107196e-003" "-1.2197022e-001" "-3.7078412e-001" "-7.2025636e-002" "-3.0167375e-001"
"Subject 1" "WALKING" "3.2731657e-001" "-2.2255821e-002" "-1.4914390e-001" "-2.4864532e-001" "" "1.3322913e-001"
"Subject 1" "WALKING" "2.9668098e-001" "-4.2715120e-002" "-1.0477623e-001" "-2.3072671e-001" "" "2.0955781e-001"
"Subject 1" "WALKING" "1.8019430e-001" "-1.7796846e-002" "-3.9347036e-002" "-3.7654341e-001" "" "2.3526725e-002"
"Subject 1" "WALKING" "2.7194632e-001" "" "3.8772773e-003" "-5.3688526e-002" "-3.1490797e-001" ""
"Subject 1" "WALKING" "2.0530739e-001" "-8.5082782e-003" "-1.1964696e-001" "-2.6070490e-001" "" "2.7917204e-002"
"Subject 1" "WALKING" "2.2003494e-001" "-7.8731854e-003" "-1.0586088e-001" "-3.2585087e-001" "" "6.9516573e-002"
"Subject 1" "WALKING" "2.4608919e-001" "-1.6175423e-002" "-1.1188336e-001" "-2.2179285e-001" "" "6.7040367e-002"
"Subject 1" "WALKING" "2.2251789e-001" "-1.5582132e-002" "-1.0349692e-001" "-2.8909120e-001" "" "2.4541959e-001"
